algorithm,has_history,block,block_label,reference_model,full_model,phase,domain,n,shapley_log_loss_reduction,paired_percentile95_low,paired_percentile95_high,joint_basic95_low,joint_basic95_high,joint95_sign,bootstrap_se,joint_critical_absolute_log_loss,family_size,bootstrap_reps,development_oof_attribution,evaluation_minus_development_attribution,development_evaluation_point_sign_flip,status
hgb,True,P,추천서비스 제공자 책무 기대,hgb::H,hgb::H_D_B_M_P_C_A_K,evaluation,person_disjoint,879,-0.0042395200274095894,-0.012850745310378792,0.004064606753745417,-0.026975040566860006,0.01849600051204083,not_resolved,0.0043675913557072316,0.022735520539450417,56,2000,0.007557237541556339,-0.011796757568965928,True,retrospective exploratory diagnostic; fixed predictions; selection and training uncertainty excluded
hgb,True,C,개인정보 수집 동의 반응,hgb::H,hgb::H_D_B_M_P_C_A_K,evaluation,person_disjoint,879,0.000867818857801315,-0.0009171992527213791,0.0025755169459254425,-0.0218677016816491,0.023603339397251732,not_resolved,0.0008867601447214166,0.022735520539450417,56,2000,0.0010551004276197304,-0.0001872815698184154,False,retrospective exploratory diagnostic; fixed predictions; selection and training uncertainty excluded
hgb,True,A,생성형 AI 이용 경험,hgb::H,hgb::H_D_B_M_P_C_A_K,evaluation,person_disjoint,879,-0.02306426051350633,-0.031804183531211214,-0.01536907714894056,-0.04579978105295675,-0.0003287399740559138,negative,0.004309012469347866,0.022735520539450417,56,2000,0.0016810403557805257,-0.024745300869286856,True,retrospective exploratory diagnostic; fixed predictions; selection and training uncertainty excluded
hgb,True,K,공통 디지털 역량 11문항,hgb::H,hgb::H_D_B_M_P_C_A_K,evaluation,person_disjoint,879,0.0193205988074504,0.010410592398187618,0.028762649550439112,-0.0034149217320000175,0.04205611934690082,not_resolved,0.004735605739699458,0.022735520539450417,56,2000,0.004121501735586595,0.015199097071863805,False,retrospective exploratory diagnostic; fixed predictions; selection and training uncertainty excluded
hgb,False,D,인구통계 정보,hgb::NONE,hgb::D_B_M_P_C_A_K,evaluation,person_disjoint,879,-0.04661796146287282,-0.06554524431576965,-0.028530729632867444,-0.06935348200232325,-0.023882440923422406,negative,0.009506469406670569,0.022735520539450417,56,2000,0.02134071565878043,-0.06795867712165325,True,retrospective exploratory diagnostic; fixed predictions; selection and training uncertainty excluded
hgb,False,B,소비서비스 생활 개선 기대,hgb::NONE,hgb::D_B_M_P_C_A_K,evaluation,person_disjoint,879,0.0049351542813017716,-0.0022482914307943446,0.012519353081249563,-0.017800366258148646,0.027670674820752188,not_resolved,0.003754889086178935,0.022735520539450417,56,2000,0.0043907374321006986,0.000544416849201073,False,retrospective exploratory diagnostic; fixed predictions; selection and training uncertainty excluded
hgb,False,M,온라인 쇼핑몰 개인정보 관리 평가,hgb::NONE,hgb::D_B_M_P_C_A_K,evaluation,person_disjoint,879,-0.0038133357852137215,-0.006542261765469755,-0.0010166165120032284,-0.02654885632466414,0.018922184754236696,not_resolved,0.0014005270801307952,0.022735520539450417,56,2000,0.001766125327973453,-0.005579461113187174,True,retrospective exploratory diagnostic; fixed predictions; selection and training uncertainty excluded
hgb,False,P,추천서비스 제공자 책무 기대,hgb::NONE,hgb::D_B_M_P_C_A_K,evaluation,person_disjoint,879,-0.012731869523658856,-0.023430570944955934,-0.002579318615333843,-0.03546739006310927,0.010003651015791561,not_resolved,0.005244796664293883,0.022735520539450417,56,2000,0.010442182886233655,-0.02317405240989251,True,retrospective exploratory diagnostic; fixed predictions; selection and training uncertainty excluded
hgb,False,C,개인정보 수집 동의 반응,hgb::NONE,hgb::D_B_M_P_C_A_K,evaluation,person_disjoint,879,0.002226673529990654,0.0005749131087968233,0.003930944439778045,-0.020508847009459763,0.02496219406944107,not_resolved,0.0008757008719635388,0.022735520539450417,56,2000,0.001046967135657807,0.001179706394332847,False,retrospective exploratory diagnostic; fixed predictions; selection and training uncertainty excluded
hgb,False,A,생성형 AI 이용 경험,hgb::NONE,hgb::D_B_M_P_C_A_K,evaluation,person_disjoint,879,-0.02000956738175383,-0.03066919947068994,-0.010522767804511503,-0.042745087921204246,0.002725953157696588,not_resolved,0.005217435553333412,0.022735520539450417,56,2000,0.003651360900447341,-0.02366092828220117,True,retrospective exploratory diagnostic; fixed predictions; selection and training uncertainty excluded
hgb,False,K,공통 디지털 역량 11문항,hgb::NONE,hgb::D_B_M_P_C_A_K,evaluation,person_disjoint,879,0.012410502810429436,0.0027778228656087796,0.022284098433285528,-0.010325017729020981,0.03514602334987985,not_resolved,0.004860303322605872,0.022735520539450417,56,2000,0.008384074423632648,0.004026428386796788,False,retrospective exploratory diagnostic; fixed predictions; selection and training uncertainty excluded
