target,algorithm,subset,config_json,oof_log_loss,fold_mean,fold_se
regular,ridge,H_P,1.0,0.4834912258107679,0.48349122581076787,0.0050919026750937246
regular,ridge,H_P,10.0,0.4835118865257072,0.48351188652570726,0.005123642709411847
regular,ridge,H_D_P,0.001,0.48359164914387676,0.4835916491438768,0.0013201950815209726
regular,ridge,H_D_P,0.01,0.47311859534238065,0.47311859534238065,0.0030860751155346116
regular,ridge,H_D_P,0.1,0.45901753370899523,0.4590175337089952,0.004288189896564764
regular,ridge,H_D_P,1.0,0.4531223337425225,0.45312233374252253,0.005733825762274641
regular,ridge,H_D_P,10.0,0.454716503046598,0.45471650304659794,0.006949145449934876
regular,ridge,H_B_P,0.001,0.48301092017191355,0.4830109201719136,0.0014789266779108479
regular,ridge,H_B_P,0.01,0.4772769206859071,0.47727692068590705,0.003602753469851174
regular,ridge,H_B_P,0.1,0.4773193610647632,0.4773193610647632,0.005150747888509601
regular,ridge,H_B_P,1.0,0.47753632468208096,0.47753632468208096,0.005404986943042084
regular,ridge,H_B_P,10.0,0.47756354029552406,0.4775635402955241,0.005432378988285824
regular,ridge,H_D_B_P,0.001,0.4812875479275617,0.48128754792756157,0.0014449201764945973
regular,ridge,H_D_B_P,0.01,0.4680995135802254,0.4680995135802254,0.003228629313641851
regular,ridge,H_D_B_P,0.1,0.4553045523251962,0.4553045523251962,0.0035295389157970194
regular,ridge,H_D_B_P,1.0,0.45064145372206244,0.4506414537220624,0.0035668358276443575
regular,ridge,H_D_B_P,10.0,0.452148476510441,0.452148476510441,0.004775719534072957
regular,ridge,H_M_P,0.001,0.4845759483003318,0.48457594830033174,0.0011376990114572794
regular,ridge,H_M_P,0.01,0.48125321338769583,0.4812532133876958,0.0026114261425036036
regular,ridge,H_M_P,0.1,0.4815597973814671,0.4815597973814672,0.004066362594445838
regular,ridge,H_M_P,1.0,0.48177981983700735,0.4817798198370073,0.004310331363479583
regular,ridge,H_M_P,10.0,0.48178944625649617,0.4817894462564961,0.004348878091908706
regular,ridge,H_D_M_P,0.001,0.48282841393636455,0.48282841393636466,0.0011465661251639214
regular,ridge,H_D_M_P,0.01,0.4718964071441568,0.4718964071441568,0.0027264659880370558
regular,ridge,H_D_M_P,0.1,0.4591121652364103,0.45911216523641024,0.004083649016048393
regular,ridge,H_D_M_P,1.0,0.45353066468753006,0.45353066468753,0.005775379331436151
regular,ridge,H_D_M_P,10.0,0.455073415354469,0.45507341535446894,0.0070812089978274755
regular,ridge,H_B_M_P,0.001,0.4822873343551934,0.4822873343551934,0.0012750182159832646
regular,ridge,H_B_M_P,0.01,0.475959566226273,0.475959566226273,0.002818438308362777
regular,ridge,H_B_M_P,0.1,0.4761395393403954,0.47613953934039543,0.00397475860980109
regular,ridge,H_B_M_P,1.0,0.47640046451013784,0.47640046451013773,0.00416872093795919
regular,ridge,H_B_M_P,10.0,0.4764315976952739,0.4764315976952738,0.004189610891615168
regular,ridge,H_D_B_M_P,0.001,0.48058824529896943,0.4805882452989693,0.0012483154563447546
regular,ridge,H_D_B_M_P,0.01,0.4672436803920575,0.4672436803920575,0.0025720469245642972
regular,ridge,H_D_B_M_P,0.1,0.455606552740885,0.455606552740885,0.002877493304899232
regular,ridge,H_D_B_M_P,1.0,0.45117852767105754,0.4511785276710576,0.0034829284566830795
regular,ridge,H_D_B_M_P,10.0,0.4526518097125907,0.4526518097125908,0.004755992224643234
regular,ridge,H_C,0.001,0.48555323408690865,0.4855532340869087,0.0013085041251698507
regular,ridge,H_C,0.01,0.4835627735241366,0.4835627735241367,0.003147847903453312
regular,ridge,H_C,0.1,0.4842790056552904,0.48427900565529036,0.005152569671213343
regular,ridge,H_C,1.0,0.4850464016904092,0.4850464016904092,0.005624128644329876
regular,ridge,H_C,10.0,0.4862605076642602,0.4862605076642601,0.006226641127845321
regular,ridge,H_D_C,0.001,0.4837716507604966,0.48377165076049655,0.001305901151991416
