subgroup,model,n,events,event_rate,log_loss,brier,roc_auc,average_precision,calibration_intercept,calibration_slope
prior_nonuser,hgb::D_M_P_A,499,200,0.40080160320641284,0.7127208918126597,0.2587173087507654,0.5693729096989966,0.4816857701125189,-0.4654836883024873,0.4500075787362135
prior_nonuser,hgb::D_M_P_A_K,499,200,0.40080160320641284,0.6941645916590617,0.24963232553132586,0.6071404682274247,0.5179689153364182,-0.490486952567545,0.6461794237641092
prior_nonuser,hgb::H_D_B_M_P_C_A,499,200,0.40080160320641284,0.6682534616059802,0.23719108530900648,0.5930685618729097,0.47831458915142516,-0.21411009182828547,0.5877788398611828
prior_nonuser,hgb::H_D_B_M_P_C_A_K,499,200,0.40080160320641284,0.6589140746582518,0.23223440174573154,0.6160200668896322,0.5329548628652363,-0.19570137938420115,0.7325648241818433
prior_nonuser,hgb::H_D_M_P,499,200,0.40080160320641284,0.6826646120339621,0.24326653817696178,0.556923076923077,0.45799482470339015,-0.2831390679220812,0.3199882374378243
prior_nonuser,hgb::H_D_M_P_A,499,200,0.40080160320641284,0.6783743717520553,0.24157101145583196,0.5633110367892977,0.46928927524807756,-0.2572300787586433,0.4070846063638864
prior_nonuser,prevalence,499,200,0.40080160320641284,0.7257680702572723,0.2662158364856176,0.5,0.40080160320641284,,
prior_nonuser,ridge::D_A_K,499,200,0.40080160320641284,0.6791594697419396,0.24262463335290205,0.6458779264214047,0.5669459422137764,-0.501000552600908,0.7433241080490668
prior_nonuser,ridge::D_B,499,200,0.40080160320641284,0.678760336790359,0.24227203243137815,0.6433528428093644,0.5183946993021474,-0.5129370066313604,0.843812988532525
prior_nonuser,ridge::D_B_M_P_C_A,499,200,0.40080160320641284,0.6723780589549215,0.23922455655954034,0.6598160535117057,0.5458107668740897,-0.5361838334777926,0.884966706061763
prior_nonuser,ridge::D_B_M_P_C_A_K,499,200,0.40080160320641284,0.6654077590628441,0.23605563847876224,0.6656187290969899,0.578120081661493,-0.4922995067775649,0.8066511434215858
prior_nonuser,ridge::H_D,499,200,0.40080160320641284,0.664796749972394,0.23598219518299138,0.5879933110367892,0.4906979620061671,-0.14893002946900413,0.6360767735180891
prior_nonuser,ridge::H_D_B_A,499,200,0.40080160320641284,0.6451100917646578,0.22675156172891428,0.6387040133779264,0.530658400219868,-0.06682628072386487,0.9089224340802321
prior_nonuser,ridge::H_D_B_M_P_C_A,499,200,0.40080160320641284,0.6477043925588276,0.2278483433613047,0.6368060200668897,0.5282794268664077,-0.09215786414987993,0.8509829607203652
prior_nonuser,ridge::H_D_B_M_P_C_A_K,499,200,0.40080160320641284,0.6439773718395647,0.2253683791200615,0.6472575250836121,0.5603441107711826,-0.1000820980338943,0.7962401864645112
prior_user,P0,1021,653,0.6395690499510284,0.6537765108148698,0.23057124827097586,0.5,0.6395690499510284,,
prior_user,hgb::D_B_M_P_C_A,1021,653,0.6395690499510284,0.7436994557155386,0.26418328588381457,0.4627305413143352,0.5888016424834963,0.7312964718171314,-0.27694407874551374
prior_user,hgb::D_B_M_P_C_A_K,1021,653,0.6395690499510284,0.7259949120683594,0.25974353270230727,0.49026025367867365,0.6297859778048975,0.6260475316787448,-0.11304975313863347
prior_user,hgb::D_M_P_A,1021,653,0.6395690499510284,0.7470528727373705,0.2666234119417719,0.4658619914774619,0.5954597640006307,0.7062514086123065,-0.26640652267656656
prior_user,hgb::D_M_P_A_K,1021,653,0.6395690499510284,0.7385685758612849,0.2661374249035057,0.47833161328983287,0.6211547373811097,0.6431558270401438,-0.15975840459740864
prior_user,hgb::H_D_B_M_P_C_A,1021,653,0.6395690499510284,0.7017236749171901,0.24802669861897686,0.47907026100272987,0.6026025164837414,0.685519356367675,-0.1499826859875825
prior_user,hgb::H_D_B_M_P_C_A_K,1021,653,0.6395690499510284,0.6763503319830984,0.24002412911164983,0.5257049404088154,0.6662691515073202,0.46020992499258584,0.17653512833278423
