subset,has_history,n_blocks,raw_items,additional_items,model_input_variables,algorithm,best_config,oof_log_loss,fold_se
H_D_M_C,True,4,7,6,7,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6362547428334664,0.0058837600216883204
H_B_M_C,True,4,4,3,4,hgb,"{'max_leaf_nodes': 3, 'learning_rate': 0.05}",0.6534401604653294,0.005185986928820759
H_D_B_M_C,True,5,8,7,8,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6345303236085903,0.005504184662738397
H_P_C,True,3,13,12,3,hgb,"{'max_leaf_nodes': 3, 'learning_rate': 0.05}",0.655098691390983,0.0039871136200693566
H_D_P_C,True,4,17,16,7,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6289526286926437,0.003665126474862075
H_B_P_C,True,4,14,13,4,hgb,"{'max_leaf_nodes': 3, 'learning_rate': 0.05}",0.6496226234409335,0.006615550471232864
H_D_B_P_C,True,5,18,17,8,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6281546028627573,0.005077372725885499
H_M_P_C,True,4,14,13,4,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6494052689764819,0.004982257530926282
H_D_M_P_C,True,5,18,17,8,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6278531232363511,0.0037555270652577764
H_B_M_P_C,True,5,15,14,5,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6454979356584607,0.00877471819013278
H_D_B_M_P_C,True,6,19,18,9,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6266398493038015,0.005238408861892852
H_A,True,2,2,1,2,hgb,"{'max_leaf_nodes': 3, 'learning_rate': 0.05}",0.6602422622549169,0.003967150266381973
H_D_A,True,3,6,5,6,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.641758650006288,0.0061080299245635265
