algorithm,has_history,domain,model,subset,collection_items,log_loss,full_model,benchmark,delta_loss_vs_full,upper95_vs_full_joint,delta_loss_vs_benchmark,upper95_vs_benchmark_joint,joint_family_contrasts,simultaneous_noninferior_full_margin_01,simultaneous_superior_benchmark,exploratory_dual_criterion_pass,status,model_variants_passing_same_subset,learner_families_passing_same_subset
hgb,False,extended_K,hgb::D_M_A_K,D_M_A_K,17,0.7201141222289416,hgb::D_B_M_P_C_A_K,prevalence,0.0073088186515632,0.0316388760172237,0.0344705723839248,0.0588006297495854,255,False,False,False,post-evaluation hypothesis-generating; independent future validation required,0,0
hgb,False,extended_K,hgb::D_B_P_A,D_B_P_A,17,0.7242445113348225,hgb::D_B_M_P_C_A_K,prevalence,0.0114392077574443,0.0357692651231048,0.038600961489806,0.0629310188554666,255,False,False,False,post-evaluation hypothesis-generating; independent future validation required,0,0
hgb,False,extended_K,hgb::D_P_C_A,D_P_C_A,17,0.7289807099634396,hgb::D_B_M_P_C_A_K,prevalence,0.0161754063860612,0.0405054637517218,0.043337160118423,0.0676672174840835,255,False,False,False,post-evaluation hypothesis-generating; independent future validation required,0,0
hgb,False,extended_K,hgb::D_M_P_A,D_M_P_A,17,0.7357820447890608,hgb::D_B_M_P_C_A_K,prevalence,0.0229767412116826,0.0473067985773432,0.0501384949440443,0.0744685523097048,255,False,False,False,post-evaluation hypothesis-generating; independent future validation required,0,0
hgb,False,extended_K,hgb::D_B_M_C_K,D_B_M_C_K,18,0.6883192706848695,hgb::D_B_M_P_C_A_K,prevalence,-0.0244860328925088,-0.0001559755268482,0.0026757208398528,0.0270057782055134,255,True,False,False,post-evaluation hypothesis-generating; independent future validation required,1,1
hgb,False,extended_K,hgb::D_B_C_A_K,D_B_C_A_K,18,0.6964063117075934,hgb::D_B_M_P_C_A_K,prevalence,-0.0163989918697848,0.0079310654958756,0.0107627618625767,0.0350928192282373,255,True,False,False,post-evaluation hypothesis-generating; independent future validation required,0,0
hgb,False,extended_K,hgb::D_B_M_A_K,D_B_M_A_K,18,0.7126123036070456,hgb::D_B_M_P_C_A_K,prevalence,-0.0001929999703325,0.0241370573953279,0.0269687537620291,0.0512988111276896,255,False,False,False,post-evaluation hypothesis-generating; independent future validation required,0,0
hgb,False,extended_K,hgb::D_B_M_P_C,D_B_M_P_C,18,0.7135359247462044,hgb::D_B_M_P_C_A_K,prevalence,0.000730621168826,0.0250606785344865,0.0278923749011877,0.0522224322668482,255,False,False,False,post-evaluation hypothesis-generating; independent future validation required,0,0
hgb,False,extended_K,hgb::D_M_C_A_K,D_M_C_A_K,18,0.7194130088634112,hgb::D_B_M_P_C_A_K,prevalence,0.0066077052860328,0.0309377626516933,0.0337694590183945,0.058099516384055,255,False,False,False,post-evaluation hypothesis-generating; independent future validation required,0,0
hgb,False,extended_K,hgb::D_B_P_C_A,D_B_P_C_A,18,0.7208517464684251,hgb::D_B_M_P_C_A_K,prevalence,0.0080464428910468,0.0323765002567074,0.0352081966234085,0.059538253989069,255,False,False,False,post-evaluation hypothesis-generating; independent future validation required,0,0
hgb,False,extended_K,hgb::D_B_M_P_A,D_B_M_P_A,18,0.729829430689102,hgb::D_B_M_P_C_A_K,prevalence,0.0170241271117236,0.0413541844773841,0.0441858808440853,0.0685159382097459,255,False,False,False,post-evaluation hypothesis-generating; independent future validation required,0,0
hgb,False,extended_K,hgb::D_M_P_C_A,D_M_P_C_A,18,0.7379074877029027,hgb::D_B_M_P_C_A_K,prevalence,0.0251021841255244,0.0494322414911849,0.0522639378578861,0.0765939952235467,255,False,False,False,post-evaluation hypothesis-generating; independent future validation required,0,0
hgb,False,extended_K,hgb::D_B_M_C_A_K,D_B_M_C_A_K,19,0.7121399159096846,hgb::D_B_M_P_C_A_K,prevalence,-0.0006653876676937,0.0236646696979667,0.0264963660646679,0.0508264234303284,255,False,False,False,post-evaluation hypothesis-generating; independent future validation required,0,0
hgb,False,extended_K,hgb::D_B_M_P_C_A,D_B_M_P_C_A,19,0.729514668268468,hgb::D_B_M_P_C_A_K,prevalence,0.0167093646910899,0.0410394220567504,0.0438711184234515,0.0682011757891121,255,False,False,False,post-evaluation hypothesis-generating; independent future validation required,0,0
hgb,False,extended_K,hgb::P_K,P_K,22,0.6806355819092695,hgb::D_B_M_P_C_A_K,prevalence,-0.0321697216681087,-0.0078396643024482,-0.005007967935747,0.0193220894299134,255,True,False,False,post-evaluation hypothesis-generating; independent future validation required,2,1
hgb,False,extended_K,hgb::M_P_K,M_P_K,23,0.6757295629394485,hgb::D_B_M_P_C_A_K,prevalence,-0.0370757406379297,-0.0127456832722692,-0.009913986905568,0.0144160704600924,255,True,False,False,post-evaluation hypothesis-generating; independent future validation required,1,1
hgb,False,extended_K,hgb::B_P_K,B_P_K,23,0.6762093289476462,hgb::D_B_M_P_C_A_K,prevalence,-0.0365959746297321,-0.0122659172640715,-0.0094342208973703,0.0148958364682901,255,True,False,False,post-evaluation hypothesis-generating; independent future validation required,2,1
