replicate,dev_boot_n,eval_boot_n,P0,ridge::H_D_B_A,ridge::H_D_B_M_P_C_A_K,ridge::H_D,ridge::H_D_B_M_P_C_A,ridge::D_A_K,ridge::D_B_M_P_C_A_K,ridge::D_B,ridge::D_B_M_P_C_A,hgb::H_D_M_P_A,hgb::H_D_B_M_P_C_A_K,hgb::D_M_P_A_K,hgb::D_B_M_P_C_A_K
86,1592,1509,0.6669321649521598,0.7200924168075823,0.7246469814076408,0.7126147129426273,0.7393410025595692,0.7119526130530222,0.7242061830801075,0.7026269775303315,0.7353478835000038,0.7135814494161458,0.6850835828357523,0.7223520573465376,0.7208812481622726
87,1527,1558,0.6687476041275328,0.7524401168175895,0.7339791078360094,0.7345152575670283,0.7539370177913497,0.7411016083778456,0.7407492209627993,0.7332865761600152,0.7609926931894335,0.7185865993247008,0.6904909514151825,0.7277767731702756,0.7232904887819167
88,1539,1501,0.6745256536874831,0.7177098061886377,0.7103149419134415,0.7062785001440129,0.7267934457564771,0.7013502563806422,0.7075979477200892,0.6888534493708525,0.7220917398912958,0.7234826579387073,0.6908227652154632,0.7173184326064767,0.7111877370823179
89,1570,1512,0.6553710951496651,0.7062601446340445,0.6971037009477988,0.6965367400236537,0.7153158100871754,0.70627866391663,0.709653278747287,0.7043122016948947,0.7267595645045778,0.6951012856045183,0.6554059256752138,0.700952224423608,0.6928511165933556
90,1539,1547,0.6542444570258257,0.7052040462313778,0.6943695445324642,0.6865018453019951,0.7088042833553261,0.7147637865352925,0.7087847195683304,0.6961306996921691,0.7227668588843931,0.701955492967511,0.660085265783771,0.7188784737403238,0.7027623578748041
91,1555,1543,0.6637948499621786,0.72575019266113,0.7082901947381445,0.7021549457410722,0.7252926605596264,0.7277783409088282,0.7234402387746911,0.7129806039195923,0.7408901053422007,0.7080410950467587,0.6836388713813449,0.7100243577747161,0.7032357720620124
92,1586,1485,0.6599814331523924,0.7165085677072301,0.7050488094521454,0.7124747248641368,0.7216205512531808,0.7128893667833169,0.7058381912967284,0.7076364677733824,0.7199121639759,0.693629041280215,0.677558534587397,0.7225071733512247,0.7099835046033486
93,1585,1474,0.6618832911326051,0.6993458736746421,0.7090322233830914,0.7040175259270047,0.7155371981899812,0.7007914817856433,0.7162757475850874,0.6995973203209233,0.7221795912710225,0.7046710996678892,0.676560136594456,0.7255403583619262,0.711612359269691
94,1563,1533,0.664375283643448,0.7294012015596728,0.732341473471826,0.7027289727600322,0.7423996342495891,0.7353580159066985,0.7354616462724386,0.701910224677485,0.7450871272138132,0.7247799977206241,0.6984593628778499,0.7392958622340089,0.7190403260469459
95,1601,1477,0.6697124441093902,0.7311657400464155,0.7365742126582557,0.707122932346469,0.7500879040567989,0.7290587818455703,0.7440435506956227,0.7120089973949952,0.7559744021466377,0.6914610512816024,0.6898369844482024,0.7298701009500453,0.7127068715265672
96,1565,1518,0.6587047559606458,0.7325333560865352,0.7430778413907496,0.704994637821668,0.7510264909263782,0.7374468223012849,0.7502609864798199,0.716485782148667,0.760641325611168,0.7466364869914416,0.7173281442533822,0.7618245713281289,0.7501245552079212
97,1548,1548,0.6590443879411473,0.6988253257304005,0.6939930938233675,0.693704426371013,0.7095859967285301,0.6963142876913758,0.703687236320337,0.7041297757401012,0.7193458474646113,0.6916588699452315,0.70014400906738,0.7123154176732315,0.7290059191240954
98,1607,1468,0.6563934240307664,0.6970162562179456,0.6859441279881325,0.6839419315348102,0.6995672187582307,0.7030034214740598,0.6957100775113111,0.6854513026395169,0.7084109282709375,0.6861097675494373,0.6521650772449556,0.6872439147051141,0.6667099712722352
99,1598,1496,0.6572695921196176,0.7427449068874342,0.7399827137077656,0.7129615013282639,0.7530082797840041,0.7486073505771226,0.7485945606926849,0.7209715445126336,0.7611992780972378,0.7135738420312443,0.6907463301466961,0.7259767859877853,0.7129772015922227
