threshold,model,net_benefit,scope
0.6000000000000002,ridge::H_D,0.05427631578947346,hypothetical classification utility; not intervention effectiveness
0.6000000000000002,ridge::H_D_B_A,0.06217105263157868,hypothetical classification utility; not intervention effectiveness
0.6000000000000002,ridge::H_D_B_M_P_C_A,0.055921052631578726,hypothetical classification utility; not intervention effectiveness
0.6000000000000002,ridge::H_D_B_M_P_C_A_K,0.07039473684210504,hypothetical classification utility; not intervention effectiveness
0.6000000000000002,act_none,0.0,
0.6000000000000002,act_all,-0.09703947368421095,
0.6500000000000001,P0,0.0,hypothetical classification utility; not intervention effectiveness
0.6500000000000001,hgb::D_B_M_P_C_A,-0.0596804511278197,hypothetical classification utility; not intervention effectiveness
0.6500000000000001,hgb::D_B_M_P_C_A_K,-0.017387218045112906,hypothetical classification utility; not intervention effectiveness
0.6500000000000001,hgb::D_M_P_A,-0.04454887218045125,hypothetical classification utility; not intervention effectiveness
0.6500000000000001,hgb::D_M_P_A_K,-0.012875939849624162,hypothetical classification utility; not intervention effectiveness
0.6500000000000001,hgb::H_D_B_M_P_C_A,-0.02434210526315808,hypothetical classification utility; not intervention effectiveness
0.6500000000000001,hgb::H_D_B_M_P_C_A_K,0.008458646616541225,hypothetical classification utility; not intervention effectiveness
0.6500000000000001,hgb::H_D_M_P,0.006390977443608879,hypothetical classification utility; not intervention effectiveness
0.6500000000000001,hgb::H_D_M_P_A,-0.02189849624060165,hypothetical classification utility; not intervention effectiveness
0.6500000000000001,prevalence,0.0,hypothetical classification utility; not intervention effectiveness
0.6500000000000001,ridge::D_A_K,-0.04783834586466181,hypothetical classification utility; not intervention effectiveness
0.6500000000000001,ridge::D_B,-0.034680451127819666,hypothetical classification utility; not intervention effectiveness
0.6500000000000001,ridge::D_B_M_P_C_A,-0.07227443609022574,hypothetical classification utility; not intervention effectiveness
0.6500000000000001,ridge::D_B_M_P_C_A_K,-0.027067669172932497,hypothetical classification utility; not intervention effectiveness
0.6500000000000001,ridge::H_D,-0.0215225563909776,hypothetical classification utility; not intervention effectiveness
0.6500000000000001,ridge::H_D_B_A,-0.00573308270676711,hypothetical classification utility; not intervention effectiveness
0.6500000000000001,ridge::H_D_B_M_P_C_A,-0.023214285714285895,hypothetical classification utility; not intervention effectiveness
0.6500000000000001,ridge::H_D_B_M_P_C_A_K,0.0007518796992479494,hypothetical classification utility; not intervention effectiveness
0.6500000000000001,act_none,0.0,
0.6500000000000001,act_all,-0.25375939849624085,
0.7000000000000002,P0,0.0,hypothetical classification utility; not intervention effectiveness
0.7000000000000002,hgb::D_B_M_P_C_A,-0.10789473684210549,hypothetical classification utility; not intervention effectiveness
0.7000000000000002,hgb::D_B_M_P_C_A_K,-0.05635964912280718,hypothetical classification utility; not intervention effectiveness
0.7000000000000002,hgb::D_M_P_A,-0.08947368421052647,hypothetical classification utility; not intervention effectiveness
0.7000000000000002,hgb::D_M_P_A_K,-0.060745614035087894,hypothetical classification utility; not intervention effectiveness
0.7000000000000002,hgb::H_D_B_M_P_C_A,-0.06535087719298267,hypothetical classification utility; not intervention effectiveness
0.7000000000000002,hgb::H_D_B_M_P_C_A_K,-0.026973684210526466,hypothetical classification utility; not intervention effectiveness
0.7000000000000002,hgb::H_D_M_P,-0.027850877192982668,hypothetical classification utility; not intervention effectiveness
0.7000000000000002,hgb::H_D_M_P_A,-0.06732456140350898,hypothetical classification utility; not intervention effectiveness
0.7000000000000002,prevalence,0.0,hypothetical classification utility; not intervention effectiveness
0.7000000000000002,ridge::D_A_K,-0.08070175438596511,hypothetical classification utility; not intervention effectiveness
0.7000000000000002,ridge::D_B,-0.057017543859649245,hypothetical classification utility; not intervention effectiveness
0.7000000000000002,ridge::D_B_M_P_C_A,-0.10899122807017564,hypothetical classification utility; not intervention effectiveness
0.7000000000000002,ridge::D_B_M_P_C_A_K,-0.06973684210526339,hypothetical classification utility; not intervention effectiveness
0.7000000000000002,ridge::H_D,-0.09100877192982477,hypothetical classification utility; not intervention effectiveness
0.7000000000000002,ridge::H_D_B_A,-0.08640350877193011,hypothetical classification utility; not intervention effectiveness
0.7000000000000002,ridge::H_D_B_M_P_C_A,-0.1021929824561406,hypothetical classification utility; not intervention effectiveness
0.7000000000000002,ridge::H_D_B_M_P_C_A_K,-0.0747807017543862,hypothetical classification utility; not intervention effectiveness
0.7000000000000002,act_none,0.0,
0.7000000000000002,act_all,-0.46271929824561475,
0.7500000000000002,P0,0.0,hypothetical classification utility; not intervention effectiveness
0.7500000000000002,hgb::D_B_M_P_C_A,-0.14868421052631606,hypothetical classification utility; not intervention effectiveness
0.7500000000000002,hgb::D_B_M_P_C_A_K,-0.07039473684210545,hypothetical classification utility; not intervention effectiveness
0.7500000000000002,hgb::D_M_P_A,-0.1282894736842108,hypothetical classification utility; not intervention effectiveness
0.7500000000000002,hgb::D_M_P_A_K,-0.08750000000000019,hypothetical classification utility; not intervention effectiveness
0.7500000000000002,hgb::H_D_B_M_P_C_A,-0.12039473684210553,hypothetical classification utility; not intervention effectiveness
0.7500000000000002,hgb::H_D_B_M_P_C_A_K,-0.061184210526315994,hypothetical classification utility; not intervention effectiveness
0.7500000000000002,hgb::H_D_M_P,-0.05000000000000015,hypothetical classification utility; not intervention effectiveness
0.7500000000000002,hgb::H_D_M_P_A,-0.1302631578947371,hypothetical classification utility; not intervention effectiveness
0.7500000000000002,prevalence,0.0,hypothetical classification utility; not intervention effectiveness
0.7500000000000002,ridge::D_A_K,-0.08355263157894756,hypothetical classification utility; not intervention effectiveness
0.7500000000000002,ridge::D_B,-0.05131578947368434,hypothetical classification utility; not intervention effectiveness
0.7500000000000002,ridge::D_B_M_P_C_A,-0.13815789473684237,hypothetical classification utility; not intervention effectiveness
0.7500000000000002,ridge::D_B_M_P_C_A_K,-0.08289473684210545,hypothetical classification utility; not intervention effectiveness
