algorithm,subset,config,oof_log_loss,fold_mean,fold_se,fold_losses
ridge,H_D_B_M,1.0,0.6378915085181807,0.6378915085181807,0.0068846758260063005,"[0.6403759916843528, 0.616079834085146, 0.6579521152530193, 0.6318964557914779, 0.6431531457769072]"
ridge,H_D_B_M,10.0,0.6388841388277984,0.6388841388277984,0.008457265363001872,"[0.6411546387569064, 0.6126873656718589, 0.6648443459730993, 0.6322511298426565, 0.6434832138944708]"
ridge,H_P,0.001,0.6757441522898079,0.6757441522898079,0.0006250473407646019,"[0.6742071865416069, 0.6768348643574935, 0.6772124657516562, 0.6743433135664009, 0.6761229312318817]"
ridge,H_P,0.01,0.6637173294197691,0.6637173294197691,0.002275336764702582,"[0.6577842275188824, 0.6675782300689413, 0.6689563058281203, 0.6588955942988408, 0.6653722893840605]"
ridge,H_P,0.1,0.6624528919931131,0.662452891993113,0.0030703929419420286,"[0.654290124168292, 0.667596397156996, 0.6694861108275115, 0.6560905871005073, 0.6648012407122583]"
ridge,H_P,1.0,0.662450328774536,0.6624503287745359,0.0031824635648987775,"[0.6539681182086319, 0.6677717598984098, 0.6697361364292513, 0.6558764379665387, 0.6648991913698478]"
ridge,H_P,10.0,0.6624525058817945,0.6624525058817945,0.003194015862848487,"[0.6539373739711145, 0.6677922222396933, 0.669764431153526, 0.6558568291899409, 0.6649116728546974]"
ridge,H_D_P,0.001,0.67256973999318,0.67256973999318,0.00045403602511750134,"[0.6718775314545151, 0.6722469462208673, 0.674339416479664, 0.6719443058082621, 0.6724405000025913]"
ridge,H_D_P,0.01,0.6520238361293985,0.6520238361293986,0.002300374460576262,"[0.6497913911304085, 0.647067392498805, 0.6605199395715154, 0.6500962330287791, 0.6526442244174849]"
ridge,H_D_P,0.1,0.6428827235829888,0.6428827235829888,0.0059961731707787085,"[0.6431927982998206, 0.624177217727623, 0.6615485391565328, 0.639535014178971, 0.6459600485519967]"
